Drumming_bout,Subspecies,Population,Community,Individual,Date,Total_bout_duration,N_beats,N_Interbeats,Interbeat 1,Interbeat 2,Interbeat 3,Interbeat 4,Interbeat 5,Interbeat 6,Interbeat 7,Interbeat 8,Interbeat 9,Interbeat 10,Interbeat 11,Interbeat 12,Interbeat 13,Interbeat 14,Interbeat 15,Interbeat 16,Interbeat 17,Interbeat 18,Interbeat 19,Interbeat 20,Interbeat 21,Interbeat 22,Interbeat 23,Interbeat 24,Interbeat 25,Interbeat 26,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Context_Before,Context_After,Context
119,EAC,Budongo,Sonso,Individual 47,27.07.19,1.07589,4,3,0.059771,0.929778,0.086337,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Resting,Traveling
127,EAC,Budongo,Sonso,Individual 48,06.03.19,0.08966,2,1,0.089657,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
128,EAC,Budongo,Sonso,Individual 48,06.03.19,0.80822,3,2,0.087646,0.720578,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
129,EAC,Budongo,Sonso,Individual 55,06.12.19,0.27229,3,2,0.182635,0.089657,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Traveling,Traveling,Traveling
130,EAC,Budongo,Sonso,Individual 60,06.12.19,0.73718,5,4,0.083016,0.185956,0.288895,0.179314,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Traveling,Traveling,Traveling
131,EAC,Budongo,Sonso,Individual 60,06.12.19,0.48149,5,4,0.096298,0.126184,0.119543,0.139467,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,Traveling,Resting,Traveling
132,EAC,Budongo,Sonso,Individual 57,06.12.19,1.38706,5,4,0.1551,0.717257,0.142787,0.371911,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Resting,Resting,Resting
133,EAC,Budongo,Sonso,Individual 48,16.11.19,0.07638,2,1,0.076375,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Resting,Resting,Resting
135,EAC,Budongo,Sonso,Individual 56,21.11.19,2.38422,8,7,0.245727,0.292216,0.67741,0.172673,0.292216,0.438324,0.265651,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
136,EAC,Budongo,Sonso,Individual 47,26.11.19,0.05355,2,1,0.053545,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
137,EAC,Budongo,Sonso,Individual 55,27.11.19,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Resting,Traveling,Traveling
138,EAC,Budongo,Sonso,Individual 48,09.12.19,0.06143,2,1,0.061432,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Resting,Resting,Resting
139,EAC,Budongo,Sonso,Individual 57,09.12.19,2.47885,6,5,0.064752,0.737181,0.073054,1.500927,0.10294,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Resting,Resting,Resting
140,EAC,Budongo,Sonso,Individual 49,09.12.19,0.38851,3,2,0.219162,0.169352,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
141,EAC,Budongo,Sonso,Individual 57,09.12.19,0.99685,4,3,0.046489,0.859044,0.0913171,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Roar,1,1,Traveling,Resting,Traveling
142,EAC,Budongo,Sonso,Individual 47,09.12.19,0.08966,2,1,0.089657,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,Traveling,Traveling,Traveling
143,EAC,Budongo,Sonso,Individual 48,10.12.19,0.07873,2,1,0.07873,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Resting,Resting,Resting
144,EAC,Budongo,Sonso,Individual 48,10.12.19,1.08585,4,3,0.109581,0.88661,0.089657,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Resting,Traveling,Traveling
148,EAC,Budongo,Sonso,Individual 55,13.12.19,0.07638,2,1,0.076375,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Resting,Traveling
150,EAC,Budongo,Sonso,Individual 55,14.12.19,0.07139,2,1,0.071394,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Traveling,Resting,Traveling
