Drumming_bout,Subspecies,Population,Community,Individual,Pop_com_code,Com_indiv_code,Date,Date_year,Date_month,Date_day,Days_before_2024,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Context_Before,Context_After,Context,Total_bout_duration,N_hits,Bout_cv,Bout_npvi,Bout_entropy,Interbeat 1,Interbeat 2,Interbeat 3,Interbeat 4,Interbeat 5,Interbeat 6,Interbeat 7,Interbeat 8,Interbeat 9,Interbeat 10,Interbeat 11,Interbeat 12,Interbeat 13,Interbeat 14,Interbeat 15,Interbeat 16,Interbeat 17,Interbeat 18,Interbeat 19,Interbeat 20,Interbeat 21,Interbeat 22,Interbeat 23,Interbeat 24,Interbeat 25,Interbeat 26,Interbeat 27
235,Eastern,Population A,Community I,Individual 5,Population A (Community I),Community I (Individual 5),29.01.20,2020.0,01,29,1433.0,With,Build-Up,Climax,1,2,Resting,Traveling,Traveling,2.47455,7,0.5654770006649417,58.43281925369343,2.616541669070521,0.156742,0.637562,0.239086,0.275613,0.355308,0.810235,,,,,,,,,,,,,,,,,,,,,
237,Eastern,Population A,Community I,Individual 5,Population A (Community I),Community I (Individual 5),29.01.20,2020.0,01,29,1433.0,With,Unk,Unk,0,0,Resting,Resting,Resting,3.07491,4,0.6200774154800378,84.61711708465383,1.3082708345352603,0.126184,1.467721,1.481003,,,,,,,,,,,,,,,,,,,,,,,,
238,Eastern,Population A,Community I,Individual 5,Population A (Community I),Community I (Individual 5),29.01.20,2020.0,01,29,1433.0,With,Build-Up,Unk,1,0,Resting,Resting,Resting,2.31521,5,0.8646788815460024,69.75605896911013,2.0,0.110306,0.777029,1.30833,0.119543,,,,,,,,,,,,,,,,,,,,,,,
245,Eastern,Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),27.02.20,2020.0,02,27,1404.0,With,Unk,Unk,0,0,Traveling,Traveling,Traveling,0.80359,3,0.8016533245063111,160.33066490126217,1.0,0.079695,0.723898,,,,,,,,,,,,,,,,,,,,,,,,,
246,Eastern,Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),27.02.20,2020.0,02,27,1404.0,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,0.25237,3,0.3157875967333547,63.157519346670945,0.0,0.166032,0.086337,,,,,,,,,,,,,,,,,,,,,,,,,
249,Eastern,Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),27.02.20,2020.0,02,27,1404.0,With,Build-Up,Build-Up,1,1,Traveling,Resting,Traveling,1.43451,5,1.179311156700257,97.21934416341954,1.4338343733773984,0.152749,0.066413,1.089168,0.126184,,,,,,,,,,,,,,,,,,,,,,,
250,Eastern,Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),27.02.20,2020.0,02,27,1404.0,With,Let-Down,Unk,3,0,Resting,Resting,Resting,1.57624,4,0.9994975879325178,107.8732955404547,1.3082708345352603,0.098552,0.212521,1.265162,,,,,,,,,,,,,,,,,,,,,,,,
251,Eastern,Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),27.02.20,2020.0,02,27,1404.0,Without,0,0,0,0,Resting,Resting,Resting,1.75994,9,0.5466093042183912,60.571209746219715,0.0,0.073054,0.305498,0.139467,0.192597,0.059771,0.438324,0.272771,0.278454,,,,,,,,,,,,,,,,,,,
267,Eastern,Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),13.03.20,2020.0,03,13,1389.0,With,Let-Down,Let-Down,3,3,Traveling,Traveling,Traveling,2.14513,11,0.41884151446490825,56.99859835420603,0.0,0.166032,0.15939,0.425041,0.192597,0.179314,0.197578,0.307159,0.079695,0.185956,0.252368,,,,,,,,,,,,,,,,,
271,Eastern,Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),05.07.11,2011.0,07,05,4563.0,With,Build-Up,Build-Up,1,1,Resting,Traveling,Traveling,0.57718,7,0.43066250966823916,57.256107844715075,0.0,0.099203,0.128062,0.11724,0.028859,0.147903,0.055914,,,,,,,,,,,,,,,,,,,,,
272,Eastern,Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),05.07.11,2011.0,07,05,4563.0,With,Let-Down,Let-Down,3,3,Traveling,Traveling,Traveling,0.54699,4,0.21659490337915566,26.305612621160517,0.0,0.212311,0.208147,0.126532,,,,,,,,,,,,,,,,,,,,,,,,
273,Eastern,Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),02.08.11,2011.0,08,02,4535.0,With,Build-Up,Build-Up,1,1,Resting,Resting,Resting,1.12917,5,0.9233627832356668,89.06442406673675,1.4338343733773984,0.332563,0.042537,0.688327,0.065739,,,,,,,,,,,,,,,,,,,,,,,
274,Eastern,Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),31.08.11,2011.0,08,31,4506.0,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,0.52978,5,0.3712595613439276,57.34071041796927,0.0,0.166281,0.058005,0.119877,0.185616,,,,,,,,,,,,,,,,,,,,,,,
276,Eastern,Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),21.06.21,2021.0,06,21,924.0,With,Build-Up,Climax,1,2,Traveling,Traveling,Traveling,0.86038,5,0.43330444559960934,46.89866077209026,0.0,0.366407,0.176418,0.203559,0.113993,,,,,,,,,,,,,,,,,,,,,,,
282,Eastern,Population A,Community II,Individual 17,Population A (Community II),Community II (Individual 17),27.04.17,2017.0,04,27,2440.0,With,Build-Up,Climax,1,2,NV,NV,Traveling,1.49196,7,0.9676578475775508,92.01035648743104,0.0,0.087762,0.109038,0.194141,0.087762,0.242011,0.771243,,,,,,,,,,,,,,,,,,,,,
283,Eastern,Population A,Community II,Individual 17,Population A (Community II),Community II (Individual 17),27.04.17,2017.0,04,27,2440.0,With,Build-Up,Climax,1,2,NV,NV,Traveling,1.08445,7,0.5396305373775104,40.29647538094161,0.0,0.224404,0.132825,0.172673,0.10294,0.079695,0.371911,,,,,,,,,,,,,,,,,,,,,
