Drumming_bout,Subspecies,Population,Community,Individual,Date,Total_bout_duration,N_hits,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Context_Before,Context_After,Context,Com_indiv,IBI_i,IBI,IBI_ms,Pop_com_code,Com_indiv_code
9,Eastern,Population A,Community I,Individual 4,27.10.18,1.57962,16,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,15,0.079695,79.69500000000001,Population A (Community I),Community I (Individual 4)
9,Eastern,Population A,Community I,Individual 4,27.10.18,1.57962,16,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,13,0.056451,56.451,Population A (Community I),Community I (Individual 4)
9,Eastern,Population A,Community I,Individual 4,27.10.18,1.57962,16,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,7,0.112902,112.902,Population A (Community I),Community I (Individual 4)
9,Eastern,Population A,Community I,Individual 4,27.10.18,1.57962,16,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,3,0.092978,92.97800000000001,Population A (Community I),Community I (Individual 4)
10,Eastern,Population A,Community I,Individual 4,27.10.18,0.20859,3,With,Climax,Climax,2,2,Display,Display,Display,SonsoZL,2,0.104294,104.294,Population A (Community I),Community I (Individual 4)
10,Eastern,Population A,Community I,Individual 4,27.10.18,0.20859,3,With,Climax,Climax,2,2,Display,Display,Display,SonsoZL,1,0.104294,104.294,Population A (Community I),Community I (Individual 4)
11,Eastern,Population A,Community I,Individual 5,05.11.18,1.28763,5,With,Climax,Climax,2,2,Resting,Resting,Resting,SonsoMS,3,0.084238,84.238,Population A (Community I),Community I (Individual 5)
11,Eastern,Population A,Community I,Individual 5,05.11.18,1.28763,5,With,Climax,Climax,2,2,Resting,Resting,Resting,SonsoMS,4,0.340962,340.962,Population A (Community I),Community I (Individual 5)
11,Eastern,Population A,Community I,Individual 5,05.11.18,1.28763,5,With,Climax,Climax,2,2,Resting,Resting,Resting,SonsoMS,2,0.786219,786.219,Population A (Community I),Community I (Individual 5)
11,Eastern,Population A,Community I,Individual 5,05.11.18,1.28763,5,With,Climax,Climax,2,2,Resting,Resting,Resting,SonsoMS,1,0.076215,76.215,Population A (Community I),Community I (Individual 5)
12,Eastern,Population A,Community I,Individual 6,12.11.18,0.11232,2,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoKS,1,0.112317,112.31700000000001,Population A (Community I),Community I (Individual 6)
13,Eastern,Population A,Community I,Individual 6,12.11.18,0.07622,2,With,Climax,Climax,2,2,Traveling,Enter tree,AFT,SonsoKS,1,0.076215,76.215,Population A (Community I),Community I (Individual 6)
14,Eastern,Population A,Community I,Individual 7,13.11.18,1.45361,6,With,Unk,Let-Down,0,3,Traveling,Traveling,Traveling,SonsoZD,1,0.078676,78.676,Population A (Community I),Community I (Individual 7)
14,Eastern,Population A,Community I,Individual 7,13.11.18,1.45361,6,With,Unk,Let-Down,0,3,Traveling,Traveling,Traveling,SonsoZD,3,0.068073,68.073,Population A (Community I),Community I (Individual 7)
14,Eastern,Population A,Community I,Individual 7,13.11.18,1.45361,6,With,Unk,Let-Down,0,3,Traveling,Traveling,Traveling,SonsoZD,2,0.642543,642.543,Population A (Community I),Community I (Individual 7)
