Population,Community,Individual,Pop_com_code,Com_indiv_code,Drumming_bout,Ratio_i,Ratio,Subspecies,Days_before_2024
Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),52,1,0.3246747829212099,Eastern,1632.0
Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),52,2,0.32500050188477037,Eastern,1632.0
Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),52,3,0.812030103124193,Eastern,1632.0
Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),52,4,0.34246519703908285,Eastern,1632.0
Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),55,1,0.09861246668701537,Eastern,1624.0
Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),55,2,0.8810233007876986,Eastern,1624.0
Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),56,1,0.12368121683191759,Eastern,1624.0
Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),56,2,0.9121756055103334,Eastern,1624.0
Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),59,1,0.6024207197940648,Eastern,1619.0
Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),59,2,0.6376809064087569,Eastern,1619.0
Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),59,3,0.6881328254841905,Eastern,1619.0
Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),60,1,0.03505105221458074,Eastern,1619.0
Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),60,2,0.8999995366970671,Eastern,1619.0
Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),60,3,0.27368517819952387,Eastern,1619.0
Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),69,1,0.15472005498351765,Eastern,1906.0
Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),69,2,0.3460211073875857,Eastern,1906.0
Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),69,3,0.8957345565714319,Eastern,1906.0
Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),69,4,0.13836482752220247,Eastern,1906.0
Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),69,5,0.8106513515102809,Eastern,1906.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),72,1,0.5508336136902016,Eastern,1888.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),72,2,0.44318244038656335,Eastern,1888.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),72,3,0.7101438522372165,Eastern,1888.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),72,4,0.3076926640783536,Eastern,1888.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),72,5,0.5844170065978591,Eastern,1888.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),72,6,0.2909152633322474,Eastern,1888.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),72,7,0.7499927607155888,Eastern,1888.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),72,8,0.28571570398903956,Eastern,1888.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),72,9,0.6842103594750523,Eastern,1888.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),72,10,0.3813284234541154,Eastern,1888.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),73,1,0.5387934391501426,Eastern,1888.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),76,1,0.38061907781839893,Eastern,1857.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),76,2,0.5263147467190769,Eastern,1857.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),76,3,0.18274135730282112,Eastern,1857.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),76,4,0.8609618348393373,Eastern,1857.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),76,5,0.4727297615462535,Eastern,1857.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),76,6,0.39725914375056726,Eastern,1857.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),76,7,0.6984130019120458,Eastern,1857.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),76,8,0.08140010450466724,Eastern,1857.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),76,9,0.7408560092649533,Eastern,1857.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),76,10,0.7075468481880064,Eastern,1857.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),76,11,0.645833202627501,Eastern,1857.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),76,12,0.5151531743641691,Eastern,1857.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),76,13,0.25394807280513915,Eastern,1857.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),92,1,0.4700860200662009,Eastern,1660.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),94,1,0.6228458464050883,Eastern,1658.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),94,2,0.4404769587070777,Eastern,1658.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),102,1,0.4081889438208655,Eastern,1644.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),102,2,0.11467906066941706,Eastern,1644.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),102,3,0.8713319343240603,Eastern,1644.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),102,4,0.7215186978233523,Eastern,1644.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),106,1,0.5714279568412176,Eastern,1642.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),106,2,0.5,Eastern,1642.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),106,3,0.18633539210881708,Eastern,1642.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),106,4,0.7401131769862119,Eastern,1642.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),107,1,0.6053161889840353,Eastern,1642.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),107,2,0.1279070785381748,Eastern,1642.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),107,3,0.735294334737212,Eastern,1642.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),107,4,0.6206891777289326,Eastern,1642.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),118,1,0.5942022660218921,Eastern,1619.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),118,2,0.3010760348294632,Eastern,1619.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),118,3,0.6190480287725216,Eastern,1619.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),118,4,0.28368741309970547,Eastern,1619.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),118,5,0.759398972928422,Eastern,1619.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),118,6,0.5,Eastern,1619.0
Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),119,1,0.06040226406170892,Eastern,1619.0
Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),119,2,0.9150322552073338,Eastern,1619.0
Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),128,1,0.10844270895197371,Eastern,1762.0
Population A,Community I,Individual 5,Population A (Community I),Community I (Individual 5),129,1,0.6707321551863441,Eastern,1487.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),130,1,0.3086417917106613,Eastern,1487.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),130,2,0.3916091573988472,Eastern,1487.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),130,3,0.6170214583658152,Eastern,1487.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),131,1,0.4328350158664521,Eastern,1487.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),131,2,0.5135129635733965,Eastern,1487.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),131,3,0.46153816454963126,Eastern,1487.0
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),132,1,0.17779418288613488,Eastern,1487.0
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),132,2,0.8339770988461055,Eastern,1487.0
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),132,3,0.2774189913308387,Eastern,1487.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),135,1,0.45679003165762916,Eastern,1502.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),135,2,0.3013698065027134,Eastern,1502.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),135,3,0.796875128663907,Eastern,1502.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),135,4,0.37142844851136514,Eastern,1502.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),135,5,0.39999999999999997,Eastern,1502.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),135,6,0.6226414290280194,Eastern,1502.0
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),139,1,0.0807449001350487,Eastern,1484.0
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),139,2,0.9098360352243485,Eastern,1484.0
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),139,3,0.04641352087477548,Eastern,1484.0
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),139,4,0.9358176207877585,Eastern,1484.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),140,1,0.5641032240794411,Eastern,1484.0
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),141,1,0.05133882475845718,Eastern,1484.0
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),141,2,0.9039132599177302,Eastern,1484.0
Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),144,1,0.10999998996176436,Eastern,1483.0
Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),144,2,0.9081634429925419,Eastern,1483.0
Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),155,1,0.5892845619393835,Eastern,1474.0
Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),156,1,0.09677370111216274,Eastern,1470.0
Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),156,2,0.6242039743737292,Eastern,1470.0
Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),156,3,0.7866672020397716,Eastern,1470.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),164,1,0.20108773038165492,Eastern,1466.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),164,2,0.8258421548607363,Eastern,1466.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),164,3,0.543859000301146,Eastern,1466.0
Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),173,1,0.7589288835232085,Eastern,1458.0
Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),173,2,0.11297049514132493,Eastern,1458.0
Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),175,1,0.4579435306832382,Eastern,1762.0
Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),175,2,0.6444453367329526,Eastern,1762.0
Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),175,3,0.296295883199304,Eastern,1762.0
Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),175,4,0.3486237011291646,Eastern,1762.0
Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),175,5,0.3988762809331504,Eastern,1762.0
Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),175,6,0.884297294404886,Eastern,1762.0
Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),175,7,0.1072799145249837,Eastern,1762.0
Population A,Community I,Individual 5,Population A (Community I),Community I (Individual 5),177,1,0.38666709496429064,Eastern,1456.0
Population A,Community I,Individual 5,Population A (Community I),Community I (Individual 5),177,2,0.5130108860657463,Eastern,1456.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),186,1,0.05729168300494696,Eastern,1452.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),186,2,0.811659395693324,Eastern,1452.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),187,1,0.1615119848164039,Eastern,1452.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),187,2,0.5965776724049068,Eastern,1452.0
Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),190,1,0.48350650158651154,Eastern,1452.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),217,1,0.41426798427592937,Eastern,1442.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),217,2,0.456666390009575,Eastern,1442.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),217,3,0.4821001657874364,Eastern,1442.0
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),218,1,0.09931873582167362,Eastern,1442.0
Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),220,1,0.12558128459693865,Eastern,1442.0
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),226,1,0.24968410787604542,Eastern,1439.0
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),226,2,0.808511592591762,Eastern,1439.0
