,Drumming_bout,Subspecies,Population,Community,Individual,Date,File_Name,Total_bout_duration,Summed_Total_bout_duration,Summed_Total_bout_duration_val,Check_Matching_Total_bout_duration,N_beats,N_Interbeats,Summed_N_Interbeats,Check_Matching_N_Interbeats,Interbeat 1,Interbeat 2,Interbeat 3,Interbeat 4,Interbeat 5,Interbeat 6,Interbeat 7,Interbeat 8,Interbeat 9,Interbeat 10,Interbeat 11,Interbeat 12,Interbeat 13,Interbeat 14,Interbeat 15,Interbeat 16,Interbeat 17,Interbeat 18,Interbeat 19,Interbeat 20,Interbeat 21,Interbeat 22,Interbeat 23,Interbeat 24,Interbeat 25,Interbeat 26,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Note_Ph,Context_Before,Context_After,Context,Tree_Species,DBH
36,37,EAC,Budongo,Sonso,HW,06.04.19,"2039 HW single ph drum (beh data resting-traveling), JS DL group ph start.WAV",0.0963,0.0963,0.0963,0.0,2,1,1,0,0.096298,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Grunty climax,Resting,Traveling,Traveling,NV,NV
37,38,EAC,Budongo,Sonso,HW,06.04.19,"2039 HW single ph drum (beh data resting-traveling), JS DL group ph start.WAV",0.08966,0.08966,0.08966,0.0,2,1,1,0,0.089657,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,Same call as before but drummed on other tree,Resting,Traveling,Traveling,NV,NV
38,39,EAC,Budongo,Sonso,HW?,06.04.19,"2048 JS HW group ph drum (traveling), JS HW group ph drum, HW single ph drum (display during traveling), JS HW group ph drum (display during traveling), JS HW group ph drum, JS single ph (traveling).WAV",0.05949,0.05949,0.05949,0.0,2,1,1,0,0.059489,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,No Climax,Display,Display,Display,NV,NV
39,40,EAC,Budongo,Sonso,HW,06.04.19,"2048 JS HW group ph drum (traveling), JS HW group ph drum, HW single ph drum (display during traveling), JS HW group ph drum (display during traveling), JS HW group ph drum, JS single ph (traveling).WAV",0.07471,0.07471,0.07471,0.0,2,1,1,0,0.074714,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,No Climax,Display,Display,Display,NV,NV
40,41,EAC,Budongo,Sonso,HW?,06.04.19,"2048 JS HW group ph drum (traveling), JS HW group ph drum, HW single ph drum (display during traveling), JS HW group ph drum (display during traveling), JS HW group ph drum, JS single ph (traveling).WAV",0.0797,0.0797,0.0797,0.0,2,1,1,0,0.079695,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Multiple climaxes like screams from drummer?,Display,Display,Display,NV,NV
41,42,EAC,Budongo,Sonso,MS,16.04.19,"2152 MS single ph drum (beh data-resting), 2;40 NB group ph, unk_m single ph other party, MS single ph drum.WAV",0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,No Climax,Resting,Resting,Resting,NV,NV
42,43,EAC,Budongo,Sonso,MS,16.04.19,"2160 Thermal Camera (cont) MS single ph drum (beh data-resting), group ph 50m, group ph 100m.WAV",1.11407,1.11407,1.11407,0.0,4,3,3,0,0.167692,0.873327,0.073054,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Climax,1,2,NV,Resting,Resting,Resting,NV,NV
43,44,EAC,Budongo,Sonso,ZD,07.06.19,2565 ZD single ph drum traveling (beh data-traveling).WAV,0.84676,0.84676,0.84676,0.0,4,3,3,0,0.097129,0.650921,0.098713,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Let-Down,2,3,NV,Traveling,Traveling,Traveling,NV,NV
44,45,EAC,Budongo,Sonso,ZD,07.06.19,2566 ZD single ph drum traveling (beh data-traveling).WAV,0.0963,0.0963,0.0963,0.0,2,1,1,0,0.096298,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,2,1,NV,Traveling,Traveling,Traveling,NV,NV
45,46,EAC,Budongo,Sonso,ZD,07.06.19,2566 ZD single ph drum traveling (beh data-traveling).WAV,0.09962,0.09962,0.09962,0.0,2,1,1,0,0.099619,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,Same call as before but drummed on other tree,Traveling,Traveling,Traveling,NV,NV
