Drumming_bout,Subspecies,Population,Community,Individual,Pop_com_code,Com_indiv_code,Date,File_Name_hidden,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Note_Ph,Context_Before,Context_After,Context,Tree_Species,DBH,Com_indiv,Total_bout_duration,Summed_Total_bout_duration,N_beats,Bout_cv,Bout_npvi,Bout_entropy,Interbeat 1,Interbeat 2,Interbeat 3,Interbeat 4,Interbeat 5,Interbeat 6,Interbeat 7,Interbeat 8,Interbeat 9,Interbeat 10,Interbeat 11,Interbeat 12,Interbeat 13,Interbeat 14,Interbeat 15,Interbeat 16,Interbeat 17,Interbeat 18,Interbeat 19,Interbeat 20,Interbeat 21,Interbeat 22,Interbeat 23,Interbeat 24,Interbeat 25,Interbeat 26,Interbeat 27
140,EAC,Budongo,Sonso,JS,Budongo (Sonso),Sonso (JS),09.12.19,"3704 09/12/2019 09;12, SM single ph intro traveling, NB SM unk group ph drum (SM drum, resting) CPR 80, JS single ph drum traveling, JS display to KC, unk pg-scream.WAV",With,Build-Up,Build-Up,1,1,NV,Traveling,Traveling,Traveling,NV,NV,Sonso_JS,0.38851,0.38851,3,0.1282064481588823,12.82064481588823,0,0.219162,0.169352,,,,,,,,,,,,,,,,,,,,,,,,,
141,EAC,Budongo,Sonso,SM,Budongo (Sonso),Sonso (SM),09.12.19,"3718 09/12/2019 12;02, SM single ph drum (traveling-resting) CYA 100, KS FK group ph 50m.WAV",With,Build-Up,Roar,1,1,"Ph roar, No climax",Traveling,Resting,Traveling,CYA,100,Sonso_SM,0.99685,0.99685,4,1.1223111865007755,85.25744352,1.3082708345352603,0.046489,0.859044,0.0913171,,,,,,,,,,,,,,,,,,,,,,,,
144,EAC,Budongo,Sonso,HW,Budongo (Sonso),Sonso (HW),10.12.19,"3737 10/12/2019 05;56, HW single ph drum resting-traveling STD 70, 1;15 JN single ph feeding, HW single ph.WAV",With,Climax,Climax,2,2,NV,Resting,Traveling,Traveling,STD,70,Sonso_HW,1.08585,1.08585,4,1.0252271193443863,79.81634530307777,1.3082708345352603,0.109581,0.88661,0.089657,,,,,,,,,,,,,,,,,,,,,,,,
155,EAC,Budongo,Sonso,HW,Budongo (Sonso),Sonso (HW),19.12.19,"3848 19/12/2019 10;03, HW single ph drum traveling FVR 60, KS single ph-bark.WAV",With,Build-Up,Build-Up,1,1,No Climax,Traveling,Traveling,Traveling,NV,NV,Sonso_HW,0.18596,0.18596,3,0.17856912387876703,17.856912387876704,0,0.109581,0.076375,,,,,,,,,,,,,,,,,,,,,,,,,
156,EAC,Budongo,Sonso,FK,Budongo (Sonso),Sonso (FK),23.12.19,"3868 23/12/2019 09;31, FK single ph drum feeding-resting CYA 50.WAV",With,Roar,Roar,1,1,"Ph roar, No Climax",Feeding,Resting,Resting,CYA,50,Sonso_FK,1.21867,1.21867,5,0.773243279,69.96953915,1.4338343733773984,0.069733,0.650845,0.391835,0.10626,,,,,,,,,,,,,,,,,,,,,,,
164,EAC,Budongo,Sonso,JS,Budongo (Sonso),Sonso (JS),27.12.19,"3900 27/12/2019 11;10, JS single ph drum resting-traveling CYA 80.WAV",With,Build-Up,Climax,1,2,NV,Resting,Traveling,Traveling,CYA,80,Sonso_JS,0.80027,0.80027,5,0.833795096,29.179138366651603,0,0.122864,0.488133,0.10294,0.086337,,,,,,,,,,,,,,,,,,,,,,,
173,EAC,Budongo,Sonso,HW,Budongo (Sonso),Sonso (HW),04.01.20,"3951 04/01/2020 06;05, HW MB JS unk group ph drum resting FPO 80.WAV",With,Unk,Unk,0,0,Unk because overlap with other calls,Resting,Resting,Resting,FPO,80,Sonso_HW,1.07589,1.07589,4,0.7153443849272424,60.083431084186955,1.3082708345352603,0.282254,0.089657,0.703975,,,,,,,,,,,,,,,,,,,,,,,,
175,EAC,Budongo,Sonso,HW,Budongo (Sonso),Sonso (HW),NV,ASO1613 HW single ph drum traveling.WAV,With,Build-Up,Build-Up,1,1,NV,Traveling,Traveling,Traveling,NV,NV,Sonso_HW,2.76277,2.76277,9,0.7375541009133671,52.30875879720604,3.7108918901656924,0.162711,0.192597,0.10626,0.252368,0.47153,0.710616,0.092978,0.773708,,,,,,,,,,,,,,,,,,,
177,EAC,Budongo,Sonso,MS,Budongo (Sonso),Sonso (MS),06.01.20,"3981 06/01/2020 10;25, MS single ph drum traveling CYA 50.WAV",With,Climax,Climax,2,2,NV,Traveling,Traveling,Traveling,CYA,50,Sonso_MS,0.29554,0.29554,4,0.19022418890899284,21.425015880004146,0,0.072224,0.114562,0.108751,,,,,,,,,,,,,,,,,,,,,,,,
186,EAC,Budongo,Sonso,JS,Budongo (Sonso),Sonso (JS),10.01.20,"4065 10/01/2020 12;15, JS HW ph drum rest (JS AB70 & TRP50), 1;10 JS HW ph drum rest JS TRP50, 2;20 JS HW group ph drum rest (JS AB70), JS single ph drum trav CZE 30, MK pg, KU DL MK group ph start, 8;15 unk single ph, JS ph display drum CYA110.WAV",With,Climax,Climax,2,2,NV,Resting,Resting,Resting,AB,70,Sonso_JS,1.55406,1.55406,4,0.9477360046189278,60.411195786181324,1.3082708345352603,0.073054,1.20207,0.278933,,,,,,,,,,,,,,,,,,,,,,,,
